"Story","Title","Result","Date","Stability","Duration (s)"
"Testing a different request on product","As a user I want to create product","SUCCESS","2023-01-09T02:03:22.944Z[Europe/London]","0.0","0.2"
"Testing a different request on product","As a user I want to get created product with productId","SUCCESS","2023-01-09T02:03:23.244Z[Europe/London]","0.0","0.03"
"Testing a different request on product","As a user I want to update the product with productId","SUCCESS","2023-01-09T02:03:23.303Z[Europe/London]","0.0","0.04"
"Testing a different request on product","As a user I want to delete the product","SUCCESS","2023-01-09T02:03:23.386Z[Europe/London]","0.0","0.08"
"Product Application","CRUD Test","SUCCESS","2023-01-09T02:03:23.533Z[Europe/London]","0.0","0.17"
"Testing a different request on store","As a user I want to create store","SUCCESS","2023-01-09T02:03:23.742Z[Europe/London]","0.0","0.05"
"Testing a different request on store","As a user I want to get created product with productId","SUCCESS","2023-01-09T02:03:23.863Z[Europe/London]","0.0","0.03"
"Testing a different request on store","As a user I want to update the product with productId","SUCCESS","2023-01-09T02:03:23.957Z[Europe/London]","0.0","0.06"
"Testing a different request on store","As a user I want to delete the product","SUCCESS","2023-01-09T02:03:24.125Z[Europe/London]","0.0","0.05"
"Store Application","CRUD Test","SUCCESS","2023-01-09T02:03:24.277Z[Europe/London]","0.0","0.13"
