"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test","This will create new product","SUCCESS","2023-01-09T02:03:15.510Z[Europe/London]","0.0","4.29"
"Product CRUD test","Getting the product information with id:","SUCCESS","2023-01-09T02:03:19.829Z[Europe/London]","0.0","0.06"
"Product CRUD test","Updating product information and verify the updated information","SUCCESS","2023-01-09T02:03:19.888Z[Europe/London]","0.0","0.05"
"Product CRUD test","Deleting product with id and verify that user is deleted","SUCCESS","2023-01-09T02:03:19.944Z[Europe/London]","0.0","0.06"
"Product data driven test","Creating multiple products with Data driven","FAILURE","2023-01-09T02:03:22.495Z[Europe/London]","0.0","9.77"
"Store CRUD test","This will create new  store","SUCCESS","2023-01-09T02:03:22.682Z[Europe/London]","0.0","0.07"
"Store CRUD test","Getting the store information with Name:","SUCCESS","2023-01-09T02:03:22.755Z[Europe/London]","0.0","0.03"
"Store CRUD test","Updating store information and verify the updated information","SUCCESS","2023-01-09T02:03:22.784Z[Europe/London]","0.0","0.04"
"Store CRUD test","Deleting store with id and verify that user is deleted","SUCCESS","2023-01-09T02:03:22.823Z[Europe/London]","0.0","0.04"
"Testing a different request on product","As a user I want to create product","SUCCESS","2023-01-09T02:03:22.944Z[Europe/London]","0.0","0.2"
"Testing a different request on product","As a user I want to get created product with productId","SUCCESS","2023-01-09T02:03:23.244Z[Europe/London]","0.0","0.03"
"Testing a different request on product","As a user I want to update the product with productId","SUCCESS","2023-01-09T02:03:23.303Z[Europe/London]","0.0","0.04"
"Testing a different request on product","As a user I want to delete the product","SUCCESS","2023-01-09T02:03:23.386Z[Europe/London]","0.0","0.08"
"Product Application","CRUD Test","SUCCESS","2023-01-09T02:03:23.533Z[Europe/London]","0.0","0.17"
"Testing a different request on store","As a user I want to create store","SUCCESS","2023-01-09T02:03:23.742Z[Europe/London]","0.0","0.05"
"Testing a different request on store","As a user I want to get created product with productId","SUCCESS","2023-01-09T02:03:23.863Z[Europe/London]","0.0","0.03"
"Testing a different request on store","As a user I want to update the product with productId","SUCCESS","2023-01-09T02:03:23.957Z[Europe/London]","0.0","0.06"
"Testing a different request on store","As a user I want to delete the product","SUCCESS","2023-01-09T02:03:24.125Z[Europe/London]","0.0","0.05"
"Store Application","CRUD Test","SUCCESS","2023-01-09T02:03:24.277Z[Europe/London]","0.0","0.13"
